Rank,Chart_Name,Notebook,Chart_Type,Primary_Category,Sub_Category,Finding_Description,Impact,Clarity,Data_Quality,Novelty,Visual_Appeal,TOTAL_SCORE,Tier,Use_For_2_Pager,File_Path
1,finding1_graduation_gap.png,analysis.ipynb,Horizontal Bar,Conversion Rates,Country Comparison,Seed→Series A conversion: NL 6.2% vs Israel 21% vs USA 16%,5,5,5,4,5,24,Tier 1,YES,figures/finding1_graduation_gap.png
2,finding2_rounds_matter.png,analysis.ipynb,Grouped Bar,Outcomes,Rounds Analysis,Companies with 4+ rounds have 3x higher acquisition rates,5,5,5,4,5,24,Tier 1,YES,figures/finding2_rounds_matter.png
3,finding3_tortoise_effect.png,analysis.ipynb,Grouped Bar,Timing,Country Comparison,Rushing (<2yr) = 2% exit vs Patient (5+yr) = 12% exit,5,5,4,5,5,24,Tier 1,YES,figures/finding3_tortoise_effect.png
4,sq1_1b_funding_funnel.png,policy_analysis.ipynb,Line/Funnel,Stage Progression,Country Comparison,NL loses companies at every stage - Valley of Death visual,5,5,5,3,5,23,Tier 1,MAYBE,figures/sq1_1b_funding_funnel.png
5,survival_funnel.png,deep_dive_4_survival.ipynb,Line/Funnel,Stage Progression,Country Comparison,Survival funnel by country showing Valley of Death,5,5,5,3,5,23,Tier 1,NO,legacy/task-1-analysis/figures/deep_dive_4/survival_funnel.png
6,sq1_2b_timing_outcomes.png,policy_analysis.ipynb,Grouped Bar,Timing,Country Comparison,Patience pays off - exit rates by timing of first funding,5,5,4,4,4,22,Tier 1,NO,figures/sq1_2b_timing_outcomes.png
7,conversion_rates.png,deep_dive_4_survival.ipynb,Grouped Bar,Conversion Rates,Country Comparison,Stage-to-stage conversion rates (Seed→A A→B B→Exit),5,5,5,3,4,22,Tier 1,NO,legacy/task-1-analysis/figures/deep_dive_4/conversion_rates.png
8,timing_vs_outcomes.png,deep_dive_1_timing.ipynb,Grouped Bar,Timing,Country Comparison,Patient companies have better outcomes across all countries,4,5,4,4,4,21,Tier 1,NO,legacy/task-1-analysis/figures/deep_dive_1/timing_vs_outcomes.png
9,part0_strengths.png,policy_analysis.ipynb,3-Panel Bar,Strengths,Country Comparison,What NL does well: low failure rate high operating rate seed availability,4,5,5,3,4,21,Tier 1,NO,figures/part0_strengths.png
10,sq1_1a_success_scorecard.png,policy_analysis.ipynb,3-Panel Bar,Outcomes,Country Comparison,Exit rate Seed→A conversion failure rate by country,4,5,5,3,4,21,Tier 1,NO,figures/sq1_1a_success_scorecard.png
